;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Área plantada;      Barreiras;147400;145200;135000;114750;115100;120600;120790;134970;143743;167000;178500;184533;187451;185500;195500;200000;195500
Área plantada;      Rio Verde;250000;230000;235000;245000;265000;265000;275000;290000;300000;310000;315000;315000;325000;340000;390000;410000;420000
Área plantada;      Balsas;108100;108100;110505;106416;125928;133484;136381;137345;168274;181764;180116;187144;209081;214912;195161;199054;200720
Área plantada;      Unaí;83000;83000;92000;96000;107000;110000;110000;116500;125000;134000;142000;145000;110000;120000;120000;180000;185000
Área plantada;      Chapadão do Sul;90000;75000;75000;78000;75000;75000;63500;72000;78233;82000;85000;83000;89000;90000;91000;100000;108000
Área plantada;      Campo Novo do Parecis;350000;298000;311500;311500;329214;315350;336000;384000;388000;380500;380000;380000;380000;380000;389000;371711;387800
Área plantada;      Primavera do Leste;220000;200000;210000;220000;224600;236919;240000;254250;251500;263863;246150;261000;280000;270000;257000;270000;280000
Área plantada;      Sorriso;597858;543000;575000;590000;608000;600200;605700;619900;635000;625900;620000;620000;600000;605000;590000;605000;598500
Área plantada;      Campo Mourão;46850;48108;48500;49500;52000;53000;53000;51200;53500;53500;57500;51200;47000;47000;48500;50000;49500
Área plantada;      Francisco Beltrão;10500;16000;11500;11800;14800;13200;12500;14500;15200;16500;18000;16250;17000;19500;20000;20700;22750
Área plantada;      Londrina;40000;40000;40000;40000;41000;41000;45000;53000;46950;51000;50750;51000;51000;49800;62000;62000;70000
Área plantada;      Toledo;66900;66100;65300;64100;67802;66000;62600;64100;69000;71000;71600;69400;70400;70400;70400;70400;69900
Área plantada;      Cruz Alta;78000;80000;80000;80000;82500;86500;86500;90000;93000;93500;96500;89500;93000;92000;92000;91500;92200
Área plantada;      Ijuí;45000;45000;44000;44000;44300;44500;44500;45000;45000;45500;46000;45700;40000;40000;40000;40000;39000
Área plantada;      São Luiz Gonzaga;60000;57000;57000;54000;57000;60000;63000;67500;71500;74000;80500;79500;80650;75500;75650;75650;78800
área colhida;      Barreiras;147400;145200;135000;114750;115100;120600;120790;134970;143743;167000;178500;184533;187451;185500;195500;200000;195500
área colhida;      Rio Verde;250000;230000;235000;245000;265000;265000;275000;290000;300000;310000;315000;315000;325000;340000;390000;410000;420000
área colhida;      Balsas;108100;108100;110505;106416;125928;133484;136381;137345;168274;181764;180116;187144;209081;214912;195161;199054;200720
área colhida;      Unaí;83000;83000;92000;96000;107000;110000;110000;116500;125000;134000;142000;145000;110000;120000;120000;180000;185000
área colhida;      Chapadão do Sul;90000;75000;75000;78000;75000;75000;63000;72000;78233;82000;85000;83000;89000;90000;91000;100000;108000
área colhida;      Campo Novo do Parecis;344750;298000;311500;311500;329214;315350;336000;384000;387400;380500;380000;368600;380000;380000;389000;371711;387800
área colhida;      Primavera do Leste;220000;200000;210000;220000;224600;236919;240000;251250;251500;263863;246150;261000;280000;270000;257000;270000;280000
área colhida;      Sorriso;596658;543000;575000;590000;608000;600200;605700;616900;630000;619900;615000;620000;600000;605000;590000;598500;598500
área colhida;      Campo Mourão;46850;48108;48500;49500;52000;53000;53000;51200;53500;53500;57500;51200;47000;47000;48500;50000;49500
área colhida;      Francisco Beltrão;10500;16000;11500;11800;14800;13200;12500;14500;15200;16500;18000;16250;17000;19500;20000;20700;22700
área colhida;      Londrina;40000;40000;40000;40000;41000;41000;45000;53000;46950;51000;50750;51000;51000;49800;62000;62000;70000
área colhida;      Toledo;66900;66100;65300;64100;67802;66000;62600;64100;69000;71000;71600;69400;70400;70400;70400;70400;69900
área colhida;      Cruz Alta;78000;80000;80000;79830;82500;86500;86500;90000;93000;93500;96500;89500;93000;92000;92000;91500;92200
área colhida;      Ijuí;45000;45000;44000;44000;44300;44500;40000;45000;45000;45500;46000;45700;40000;40000;40000;40000;39000
área colhida;      São Luiz Gonzaga;60000;57000;57000;54000;57000;60000;56700;67500;71500;74000;80500;79500;80650;75500;75650;75650;78800
quant produzida;      Barreiras;336072;392040;409860;292613;352206;405216;420349;307732;353608;501000;396270;599914;772788;708640;779600;831000;777504
quant produzida;      Rio Verde;600000;579600;733200;735000;768500;826800;907500;870000;750000;744000;982800;1102500;1170000;1081200;1404000;1476000;1638000
quant produzida;      Balsas;246468;324300;331515;319248;376524;400452;417325;386196;457760;501668;234491;505289;616672;619997;609025;623157;599350
quant produzida;      Unaí;209160;199200;303600;316800;288900;330000;316800;349500;375000;374128;485640;500250;422400;396000;446400;637200;710400
quant produzida;      Chapadão do Sul;205200;202500;225000;261300;247500;225000;196560;237600;244087;265680;270300;298800;293700;347930;327600;420000;492480
quant produzida;      Campo Novo do Parecis;868770;894000;990570;967208;1006135;990352;1063800;1125720;1194288;1197900;1162800;1172148;1322400;1276800;1377060;1304958;1396080
quant produzida;      Primavera do Leste;550440;620200;656250;660000;703188;753402;744000;753940;784680;806933;738450;829980;890400;842400;894360;939600;1041600
quant produzida;      Sorriso;1789974;1662666;1794000;1840800;1814400;2088540;1961880;1926930;1981800;1951710;1771200;2157600;2232000;2141700;2283300;2010960;2118690
quant produzida;      Campo Mourão;125428;149098;144750;119190;155071;180200;132300;168578;172300;191200;175266;196608;169200;141000;198850;195000;114840
quant produzida;      Francisco Beltrão;17050;44700;29850;26400;46080;47160;26325;42400;38440;53700;57000;56875;64600;64350;75000;83970;36460
quant produzida;      Londrina;84000;115200;115200;100800;120540;134524;121550;155820;107985;163200;114187;165750;158100;148155;217000;207700;234000
quant produzida;      Toledo;148599;206049;206634;145120;230862;221100;85220;229680;239800;252000;236832;284540;235840;147136;281600;235840;55920
quant produzida;      Cruz Alta;177840;200000;168000;177223;198000;259500;83040;244800;228450;294450;339060;319260;326160;334800;197040;358650;123240
quant produzida;      Ijuí;72000;108000;92400;84480;119610;128160;38400;121500;94500;122850;143520;159950;132000;132000;80000;160000;39000
quant produzida;      São Luiz Gonzaga;81000;143640;109440;87480;147060;162000;17010;166130;172017;207200;247978;254999;265634;259055;171154;200831;59768
valor produção;;Soja (em grão);Soja (em grão);Soja (em grão);Soja (em grão);Soja (em grão);Soja (em grão);Soja (em grão);Soja (em grão);Soja (em grão);Soja (em grão);Soja (em grão);Soja (em grão);Soja (em grão);Soja (em grão);Soja (em grão);Soja (em grão);Soja (em grão)
valor produção;      Barreiras;120314;196020;279115;196109;186669;274198;352395;247878;341822;496992;416084;587916;860113;797220;1340912;2148135;2320655
valor produção;      Rio Verde;199800;250967;403260;514500;384250;523364;635250;674250;675000;694152;1015232;1196213;1209780;1225000;1639395;3690000;4888365
valor produção;      Balsas;73940;81075;240348;223474;263566;260294;310907;322547;422146;474578;235757;507563;727661;678636;1108426;1511156;1847796
valor produção;      Unaí;83664;89640;188232;209088;153117;224400;244566;297075;385500;372631;582768;510255;456192;443520;614693;1686006;2111444
valor produção;      Chapadão do Sul;70178;90113;147773;177104;125192;149850;142506;197999;231475;237340;280877;274896;337755;388520;491400;1008000;1391832
valor produção;      Campo Novo do Parecis;231962;368328;495285;549374;469462;643729;722305;898184;1054915;1032759;1104730;1093614;1255844;1271054;1689845;3262395;3723345
valor produção;      Primavera do Leste;154123;235676;387188;422400;330498;489711;524632;622248;784680;726240;812295;765798;957180;940683;1203433;2426564;2864400
valor produção;      Sorriso;483293;631813;1058460;1067664;725760;1420207;1307118;1287001;1682260;1689638;1915553;2157600;2008800;2165794;2797020;4984707;5809024
valor produção;      Campo Mourão;52053;76636;105668;89114;79241;128753;97421;146948;179480;182598;190272;190383;183758;159637;349181;513045;365104
valor produção;      Francisco Beltrão;6820;21233;20895;20584;24053;33012;21446;37652;40864;52495;63539;57762;74245;74582;99735;225580;117420
valor produção;      Londrina;31080;51840;82944;72173;63283;90804;108423;140238;108957;146309;111218;160396;178335;167993;303366;536281;682344
valor produção;      Toledo;60628;98904;149810;105212;130667;125143;61437;206712;266744;226908;245014;308157;243623;166754;489562;613184;167760
valor produção;      Cruz Alta;66535;88130;121800;139404;110478;176782;76762;219191;236064;289444;410391;303297;434700;401760;290116;890528;349486
valor produção;      Ijuí;26424;48506;65592;59136;65437;89276;31136;104745;100047;126536;163326;149777;162624;139920;115584;436709;125052
valor produção;      São Luiz Gonzaga;30375;71820;76389;63636;88574;116099;14884;152359;185130;186480;285175;234599;318761;284961;233807;552285;185281